uidb_number,fir_number,suspect_name,known_aliases,prior_convictions_count,previous_ps_name,previous_offence,act_and_sections,modus_operandi,mob_number,crime_category,case_year,case_status,custody_location
UIDB-873925,0973/2026,Md. Ojas Bhavsar,"Goli Mastan, Sharpie",2,Crime Branch Unit 3 (Byculla),"Contract Assassination (Supari), Shootout on Witness & Gang Assault","IPC Sec 302, 307, 120B, 34 r/w Arms Act Sec 25(1B)(a), Sec 27",Conducting motorcycle-borne reconnaissance on syndicate hit targets; executing firearm ambushes with 7.65mm country pistols and disposing weapons in Thane Creek.,MOB/CRIM/2024/287,CONTRACT_KILLING_AND_ASSAULT,2024,Under Trial (Sessions Court 14),Arthur Road Jail
UIDB-979265,0056/2026,Md. Sathvik Mahajan,"Chemical Chembur, Dealer Farhan",5,Anti-Narcotics Cell (ANC) Bandra Unit,Commercial Quantity Trafficking of Mephedrone (MD) & Synthetic Narcotics,"NDPS Act 1985 Sec 8(c), 20(b)(ii)(C), 22(c), 29",Procuring synthetic narcotics via Goa-Mumbai coastal dead-drops; distribution network operating through courier packages and high-end nightlife circuits across South and West Mumbai.,MOB/ANTI/2021/741,NARCOTICS_TRAFFICKING,2021,Judicial Custody (Arthur Road Jail),Taloja Central Prison
UIDB-420097,0288/2026,Md. Elijah Rege,"Cash Kingpin, Zaveri Courier",3,Enforcement Directorate / Crime Branch Unit 1,Cross-Border Hawala Layering & Angadia Illegal Cash Conduit Operations,"PMLA 2002 Sec 3, Sec 4 r/w IPC 420, 120B",Operating illicit hawala book across Zaveri Bazaar & Opera House; layering extortion & contraband profits via 12 fictitious shell LLP bank accounts using forged Aadhaar cards.,MOB/ENFO/2022/739,HAWALA_AND_MONEY_LAUNDERING,2022,Bailed (Condition to Report Twice Weekly),Out on Conditional Bail
UIDB-446836,0254/2026,Md. Ranbir Bhalla,"Goli Mastan, Sharpie",1,Kalachowki Police Station,"Contract Assassination (Supari), Shootout on Witness & Gang Assault","IPC Sec 302, 307, 120B, 34 r/w Arms Act Sec 25(1B)(a), Sec 27",Conducting motorcycle-borne reconnaissance on syndicate hit targets; executing firearm ambushes with 7.65mm country pistols and disposing weapons in Thane Creek.,MOB/KALA/2024/139,CONTRACT_KILLING_AND_ASSAULT,2024,Judicial Custody (Taloja Central Prison),Arthur Road Jail
UIDB-452315,0320/2026,Md. Pranit Arya,"Cash Kingpin, Zaveri Courier",3,Enforcement Directorate / Crime Branch Unit 1,Cross-Border Hawala Layering & Angadia Illegal Cash Conduit Operations,"PMLA 2002 Sec 3, Sec 4 r/w IPC 420, 120B",Operating illicit hawala book across Zaveri Bazaar & Opera House; layering extortion & contraband profits via 12 fictitious shell LLP bank accounts using forged Aadhaar cards.,MOB/ENFO/2022/646,HAWALA_AND_MONEY_LAUNDERING,2022,Bailed (Condition to Report Twice Weekly),Out on Conditional Bail
UIDB-265705,0481/2026,Md. Reyansh Anne,"Bhaijaan, Company Enforcer",2,Crime Branch Unit 1 (Crawford Market),"Extortion, Running Organized Crime Syndicate & Illegal Arms Supply","MCOCA 1999 Sec 3(1)(ii), 3(2), 3(4) r/w Arms Act Sec 3, 25(1B)(a), IPC 120B",Running protection racket (hafta) targeting real estate developers and angadias in South Mumbai via VoIP spoofing; arms stockpiling and coordinating extortion calls from safehouses.,MOB/CRIM/2020/732,ORGANIZED_CRIME,2020,Judicial Custody (Taloja Central Prison),Out on Conditional Bail
UIDB-156135,0438/2026,Md. Andrew Bora,"Proxy Boy, Crypto Mule",1,Tardeo Police Station,"SIM Box Operation, Bank Impersonation Phishing & UPI Mule Laundering","Information Technology Act Sec 66D, 66C r/w IPC 419, 420, 468, 471",Operating high-density 128-port SIM boxes to route offshore fraudulent KYC phishing calls; rapidly funneling victim balances through layered student mule accounts within 120 seconds.,MOB/TARD/2023/839,CYBER_FINANCIAL_FRAUD,2023,Judicial Custody (Arthur Road Jail),Arthur Road Jail
UIDB-916113,0108/2026,Md. Gagan Rao,"Cash Kingpin, Zaveri Courier",2,Crime Branch Unit 2,Cross-Border Hawala Layering & Angadia Illegal Cash Conduit Operations,"PMLA 2002 Sec 3, Sec 4 r/w IPC 420, 120B",Operating illicit hawala book across Zaveri Bazaar & Opera House; layering extortion & contraband profits via 12 fictitious shell LLP bank accounts using forged Aadhaar cards.,MOB/CRIM/2022/689,HAWALA_AND_MONEY_LAUNDERING,2022,Under Trial,Not in Custody (Interim Bail)
UIDB-893401,0898/2026,Md. Peter Barad,"Chemical Chembur, Dealer Farhan",4,Bhoiwada Police Station,Commercial Quantity Trafficking of Mephedrone (MD) & Synthetic Narcotics,"NDPS Act 1985 Sec 8(c), 20(b)(ii)(C), 22(c), 29",Procuring synthetic narcotics via Goa-Mumbai coastal dead-drops; distribution network operating through courier packages and high-end nightlife circuits across South and West Mumbai.,MOB/BHOI/2021/949,NARCOTICS_TRAFFICKING,2021,Charge-sheeted,Judicial Custody
UIDB-011123,0734/2026,Md. Nihal Rana,"Proxy Boy, Crypto Mule",2,Tardeo Police Station,"SIM Box Operation, Bank Impersonation Phishing & UPI Mule Laundering","Information Technology Act Sec 66D, 66C r/w IPC 419, 420, 468, 471",Operating high-density 128-port SIM boxes to route offshore fraudulent KYC phishing calls; rapidly funneling victim balances through layered student mule accounts within 120 seconds.,MOB/TARD/2023/788,CYBER_FINANCIAL_FRAUD,2023,Judicial Custody (Arthur Road Jail),Arthur Road Jail
UIDB-929724,0513/2026,Md. Arjun Sheth,"Cash Kingpin, Zaveri Courier",4,Enforcement Directorate / Crime Branch Unit 1,Cross-Border Hawala Layering & Angadia Illegal Cash Conduit Operations,"PMLA 2002 Sec 3, Sec 4 r/w IPC 420, 120B",Operating illicit hawala book across Zaveri Bazaar & Opera House; layering extortion & contraband profits via 12 fictitious shell LLP bank accounts using forged Aadhaar cards.,MOB/ENFO/2022/484,HAWALA_AND_MONEY_LAUNDERING,2022,Bailed (Condition to Report Twice Weekly),Out on Conditional Bail
UIDB-573287,0635/2026,Md. Umang Mody,"Goli Mastan, Sharpie",3,Kalachowki Police Station,"Contract Assassination (Supari), Shootout on Witness & Gang Assault","IPC Sec 302, 307, 120B, 34 r/w Arms Act Sec 25(1B)(a), Sec 27",Conducting motorcycle-borne reconnaissance on syndicate hit targets; executing firearm ambushes with 7.65mm country pistols and disposing weapons in Thane Creek.,MOB/KALA/2024/223,CONTRACT_KILLING_AND_ASSAULT,2024,Judicial Custody (Taloja Central Prison),Arthur Road Jail
UIDB-043583,0724/2026,Md. Laban Prakash,"Goli Mastan, Sharpie",4,Crime Branch Unit 3 (Byculla),"Contract Assassination (Supari), Shootout on Witness & Gang Assault","IPC Sec 302, 307, 120B, 34 r/w Arms Act Sec 25(1B)(a), Sec 27",Conducting motorcycle-borne reconnaissance on syndicate hit targets; executing firearm ambushes with 7.65mm country pistols and disposing weapons in Thane Creek.,MOB/CRIM/2024/520,CONTRACT_KILLING_AND_ASSAULT,2024,Under Trial (Sessions Court 14),Arthur Road Jail
UIDB-436242,0414/2026,Md. Zashil Mistry,"Chhota Boss, Bhai Dongri",5,Nagpada Police Station,Armed Extortion & Intimidation of SRA Builders & Merchants,"IPC Sec 384, 386, 387, 506(2), 34",Intimidating Slum Rehabilitation Authority (SRA) contractors and local scrap dealers; deploying muscle for forcible land possession and extorting monthly hafta payments.,MOB/NAGP/2025/461,EXTORTION_AND_THREAT,2025,Under Trial,Arthur Road Jail
UIDB-007709,0658/2026,Md. Advik Golla,"Goli Mastan, Sharpie",5,Kalachowki Police Station,"Contract Assassination (Supari), Shootout on Witness & Gang Assault","IPC Sec 302, 307, 120B, 34 r/w Arms Act Sec 25(1B)(a), Sec 27",Conducting motorcycle-borne reconnaissance on syndicate hit targets; executing firearm ambushes with 7.65mm country pistols and disposing weapons in Thane Creek.,MOB/KALA/2024/992,CONTRACT_KILLING_AND_ASSAULT,2024,Judicial Custody (Taloja Central Prison),Arthur Road Jail
UIDB-103655,0052/2026,Md. Ayush Baria,"Proxy Boy, Crypto Mule",2,Crime Branch Cyber Cell,"SIM Box Operation, Bank Impersonation Phishing & UPI Mule Laundering","Information Technology Act Sec 66D, 66C r/w IPC 419, 420, 468, 471",Operating high-density 128-port SIM boxes to route offshore fraudulent KYC phishing calls; rapidly funneling victim balances through layered student mule accounts within 120 seconds.,MOB/CRIM/2023/304,CYBER_FINANCIAL_FRAUD,2023,"Bailed (Surety of ₹50,000)",Arthur Road Jail
UIDB-323507,0481/2026,Md. Simon Rai,"Goli Mastan, Sharpie",5,Crime Branch Unit 3 (Byculla),"Contract Assassination (Supari), Shootout on Witness & Gang Assault","IPC Sec 302, 307, 120B, 34 r/w Arms Act Sec 25(1B)(a), Sec 27",Conducting motorcycle-borne reconnaissance on syndicate hit targets; executing firearm ambushes with 7.65mm country pistols and disposing weapons in Thane Creek.,MOB/CRIM/2024/825,CONTRACT_KILLING_AND_ASSAULT,2024,Under Trial (Sessions Court 14),Arthur Road Jail
UIDB-524597,0736/2026,Md. Tarak Sahni,None / Clean Profile,0,N/A,None,N/A,No prior criminal history on record. Subject currently under preliminary intelligence observation.,N/A,CLEAN,N/A,Clean Record,Not in Custody
